id,year,month,day,date,wsu_depth,tis_depth,tun_depth,ppa_depth,ppd_depth,mlk_depth,rpp_depth,rti_depth
1082,2017,9,12,2017-09-12,0,0,0,0,0,0,0,0
1083,2017,9,13,2017-09-13,0,0,0,0,0,0,0,0
1084,2017,9,14,2017-09-14,0,0,0,0,0,0,0,0
1085,2017,9,15,2017-09-15,0,0,0,0,0,0,0,0
1086,2017,9,16,2017-09-16,0,0,0,0,0,0,0,0
1087,2017,9,17,2017-09-17,0,0,0,0,0,0,0,0
1088,2017,9,18,2017-09-18,0,0,0,0,0,0,0,0
1089,2017,9,19,2017-09-19,0,0,0,0,0,0,0,0
1090,2017,9,20,2017-09-20,0,0,0,0,0,0,0,0
1091,2017,9,21,2017-09-21,0,0,0,0,0,0,0,0
1092,2017,9,22,2017-09-22,0,0,0,0,0,0,0,0
1093,2017,9,23,2017-09-23,0,0,0,0,0,0,0,0
1094,2017,9,24,2017-09-24,0,0,0,0,0,0,0,0
1095,2017,9,25,2017-09-25,0,0,0,0,0,0,0,0
1096,2017,9,26,2017-09-26,0,0,0,0,0,0,0,0
1097,2017,9,27,2017-09-27,0,0,0,0,0,0,0,0
1098,2017,9,28,2017-09-28,0,0,0,0,0,0,0,0
1099,2017,9,29,2017-09-29,0,0,0,0,0,0,0,0
1100,2017,9,30,2017-09-30,0,0,0,0,0,0,0,0
1101,2017,10,1,2017-10-01,0,0,0,0,0,0,0,0
1102,2017,10,2,2017-10-02,0,0,0,0,0,0,0,0
1103,2017,10,3,2017-10-03,0,0,0,0,0,0,0,0
1104,2017,10,4,2017-10-04,0,0,0,0,0,0,0,0
1105,2017,10,5,2017-10-05,0,10,1,1,1,0,0,0
1106,2017,10,6,2017-10-06,0,10,0,0,0,0,0,0
1107,2017,10,7,2017-10-07,0,0,0,0,0,0,0,0
1108,2017,10,8,2017-10-08,0,0,0,0,0,0,0,0
1109,2017,10,9,2017-10-09,0,0,0,0,0,0,0,0
1110,2017,10,10,2017-10-10,0,5,1,1,1,0,0,0
1111,2017,10,11,2017-10-11,1,0,0,1,0,0,0,0
1112,2017,10,12,2017-10-12,1,0,0,0,0,0,0,0
1113,2017,10,13,2017-10-13,0,0,0,0,0,0,0,0
1114,2017,10,14,2017-10-14,0,0,0,0,0,0,0,0
1115,2017,10,15,2017-10-15,0,0,0,0,0,0,0,0
1116,2017,10,16,2017-10-16,0,0,0,0,0,5,2,5
1117,2017,10,17,2017-10-17,0,NA,10,NA,1,,NA,NA
1118,2017,10,18,2017-10-18,0,NA,NA,NA,3,,10,10
1119,2017,10,19,2017-10-19,NA,20,0,1,0,5,5,5
1120,2017,10,20,2017-10-20,1,25,0,1,0,5,5,5
1121,2017,10,21,2017-10-21,1,15,0,NA,0,5,5,2
1122,2017,10,22,2017-10-22,1,15,0,NA,0,0,NA,NA
1123,2017,10,23,2017-10-23,0,10,10,NA,NA,5,NA,NA
1124,2017,10,24,2017-10-24,NA,5,10,4,NA,5,NA,NA
1125,2017,10,25,2017-10-25,NA,5,10,4,NA,5,NA,NA
1126,2017,10,26,2017-10-26,NA,5,10,5,NA,5,NA,NA
1127,2017,10,27,2017-10-27,NA,6,10,4,3,5,NA,NA
1128,2017,10,28,2017-10-28,25,5,10,4,NA,10,NA,NA
1129,2017,10,29,2017-10-29,20,5,10,4,1,,0,0
1130,2017,10,30,2017-10-30,35,7,10,4,NA,,NA,NA
1131,2017,10,31,2017-10-31,10,25,10,4,NA,,NA,NA
1132,2017,11,1,2017-11-01,15,25,10,6,NA,,NA,NA
1133,2017,11,2,2017-11-02,NA,30,10,6,NA,,NA,NA
1134,2017,11,3,2017-11-03,NA,25,10,6,NA,,2,15
1135,2017,11,4,2017-11-04,30,15,10,6,NA,,2,15
