site,sow.year,species,tag,exclosure,treat,treatment,seeded,scarif,no.germ,germ.0,germ.1,germ.2,germ.3,germ.4,germ.5,germ.prop,no.germ.prop,germ.prop.via,surv.prop.0,surv.prop.1,surv.prop.2,surv.prop.3,surv.prop.4,planted,viability
TIS,2016,ws,1373,no,1,control,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.815
TIS,2016,ws,1374,no,3,scarified,0,1,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.815
TIS,2016,ws,1375,no,4,seeded.scarified,1,1,18,2,2,1,1,1,1,0.10,0.90,0.12,2.00,1.00,1.00,1.00,1.00,20,0.815
TIS,2016,ws,1376,no,2,seeded,1,0,19,1,1,1,0,0,0,0.05,0.95,0.06,1.00,1.00,0.00,0.00,0.00,20,0.815
TIS,2016,ws,1377,no,3,scarified,0,1,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.815
TIS,2016,ws,1378,no,1,control,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.815
TIS,2016,ws,1379,no,4,seeded.scarified,1,1,18,2,1,1,1,0,0,0.10,0.90,0.12,1.00,1.00,1.00,0.00,0.00,20,0.815
TIS,2016,ws,1380,no,2,seeded,1,0,19,1,1,0,0,0,0,0.05,0.95,0.06,1.00,0.00,0.00,0.00,0.00,20,0.815
TIS,2016,ws,1383,no,1,control,0,0,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.815
TIS,2016,ws,1384,no,3,scarified,0,1,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.815
