site,zone,year,tree,aspect,height,viability,gmin
MLK,Forest,2013,3,W,C,100,7.00E-06
MLK,Forest,2013,3,W,S,100,4.40E-06
MLK,Forest,2013,4,W,A,100,1.10E-05
MLK,Forest,2013,4,W,C,100,1.10E-05
MLK,Forest,2013,4,W,S,100,6.50E-06
MLK,Forest,2013,5,W,A,100,1.30E-05
MLK,Forest,2013,5,W,C,100,9.10E-06
MLK,Forest,2013,5,W,S,100,6.10E-06
OWL,Forest,2013,1,W,A,80,2.50E-06
OWL,Forest,2013,1,W,C,96,1.00E-05
OWL,Forest,2013,2,W,A,99,6.50E-06
OWL,Forest,2013,2,W,C,98,7.70E-06
OWL,Forest,2013,3,W,A,100,4.20E-07
OWL,Forest,2013,3,W,C,96,5.30E-06
OWL,Forest,2013,4,W,A,100,1.60E-06
OWL,Forest,2013,4,W,C,95,6.30E-06
OWL,Forest,2013,5,W,A,90,6.10E-06
OWL,Forest,2013,5,W,C,88,5.40E-06
ROK,Forest,2013,1,W,A,90,2.00E-05
ROK,Forest,2013,1,W,C,94,2.10E-05
ROK,Forest,2013,1,W,S,97,1.70E-05
ROK,Forest,2013,2,W,A,98,1.20E-05
ROK,Forest,2013,2,W,C,95,4.80E-06
WSU,Forest,2013,1,W,A,96,8.50E-06
WSU,Forest,2013,1,W,C,99,1.40E-05
WSU,Forest,2013,2,W,A,79,1.50E-05
WSU,Forest,2013,2,W,C,93,7.10E-06
WSU,Forest,2013,3,W,A,50,3.10E-04
WSU,Forest,2013,3,W,C,100,1.10E-05
WSU,Forest,2013,4,W,A,100,1.30E-05
WSU,Forest,2013,4,W,C,81,4.30E-05
WSU,Forest,2013,4,W,S,95,5.70E-05
WSU,Forest,2013,5,W,A,100,8.60E-06
WSU,Forest,2013,5,W,C,100,1.10E-05
T10,Tree island,2013,1,L,A,100,4.50E-06
T10,Tree island,2013,1,L,A,100,2.50E-05
T10,Tree island,2013,1,L,C,100,6.20E-06
T10,Tree island,2013,1,L,C,100,3.10E-05
T10,Tree island,2013,1,L,S,100,7.60E-06
T10,Tree island,2013,1,L,S,96,1.30E-05
T10,Tree island,2013,2,L,A,100,2.00E-05
T10,Tree island,2013,2,L,A,100,2.20E-05
T10,Tree island,2013,2,L,C,99,1.40E-05
T10,Tree island,2013,2,L,C,98,1.50E-06
T10,Tree island,2013,2,L,S,100,1.30E-05
T10,Tree island,2013,2,L,S,100,1.20E-05
T10,Tree island,2013,3,L,A,100,2.10E-05
T10,Tree island,2013,3,L,A,100,1.20E-05
T10,Tree island,2013,3,L,C,98,2.20E-05
T10,Tree island,2013,3,L,C,98,1.60E-05
T10,Tree island,2013,3,L,S,100,1.10E-05
