year,site,zone,lat,lon,elev,tree,aspect,height,code,water,viability,gmin,group,density,swe,htc,dist,cover
2010,BLK,Forest,58.620559,-93.811126,38,1,F,C,BLK F1 FC,123,79,9.70E-06,3,234.181,153.843,0.269,16.99559961,45
2010,BLK,Forest,58.620559,-93.811126,38,1,F,S,BLK F1 FS,162,92,1.30E-05,4,234.181,153.843,0.269,16.99559961,45
2010,BLK,Forest,58.620559,-93.811126,38,1,T,A,BLK F1 TA,129,61,9.10E-06,3,234.181,153.843,0.269,16.99559961,45
2010,BLK,Forest,58.620559,-93.811126,38,1,T,C,BLK F1 TC,165,93,2.00E-05,4,234.181,153.843,0.269,16.99559961,45
2010,BLK,Forest,58.620559,-93.811126,38,1,T,S,BLK F1 TS,138,95,1.30E-05,4,234.181,153.843,0.269,16.99559961,45
2010,BLK,Forest,58.620559,-93.811126,38,2,F,A,BLK F2 FA,133,94,1.20E-05,3,234.181,153.843,0.269,16.99559961,45
2010,BLK,Forest,58.620559,-93.811126,38,2,F,C,BLK F2 FC,130,100,1.60E-05,3,234.181,153.843,0.269,16.99559961,45
2010,BLK,Forest,58.620559,-93.811126,38,2,F,S,BLK F2 FS,90,100,2.30E-05,1,234.181,153.843,0.269,16.99559961,45
2010,BLK,Forest,58.620559,-93.811126,38,2,T,A,BLK F2 TA,119,100,1.60E-05,3,234.181,153.843,0.269,16.99559961,45
2010,BLK,Forest,58.620559,-93.811126,38,2,T,C,BLK F2 TC,130,100,2.10E-05,3,234.181,153.843,0.269,16.99559961,45
2010,BLK,Forest,58.620559,-93.811126,38,2,T,S,BLK F2 TS,151,82,1.30E-05,4,234.181,153.843,0.269,16.99559961,45
2010,BLK,Forest,58.620559,-93.811126,38,3,F,A,BLK F3 FA,119,98,1.30E-05,3,234.181,153.843,0.269,16.99559961,45
2010,BLK,Forest,58.620559,-93.811126,38,3,F,C,BLK F3 FC,129,100,1.90E-05,3,234.181,153.843,0.269,16.99559961,45
2010,BLK,Forest,58.620559,-93.811126,38,3,F,S,BLK F3 FS,123,98,1.50E-05,3,234.181,153.843,0.269,16.99559961,45
2010,BLK,Forest,58.620559,-93.811126,38,3,T,A,BLK F3 TA,121,99,2.00E-05,3,234.181,153.843,0.269,16.99559961,45
2010,BLK,Forest,58.620559,-93.811126,38,3,T,C,BLK F3 TC,113,96,1.40E-05,3,234.181,153.843,0.269,16.99559961,45
2010,BLK,Forest,58.620559,-93.811126,38,3,T,S,BLK F3 TS,95,94,1.70E-05,1,234.181,153.843,0.269,16.99559961,45
2013,BLK,Forest,58.620559,-93.811126,38,1,L,A,BLK F1 LA,93,97,7.30E-07,1,199.149,126.485,0.187,16.99559961,45
2013,BLK,Forest,58.620559,-93.811126,38,1,L,C,BLK F1 LC,113,100,2.40E-05,3,199.149,126.485,0.187,16.99559961,45
2013,BLK,Forest,58.620559,-93.811126,38,1,L,S,BLK F1 LS,123,98,1.10E-05,3,199.149,126.485,0.187,16.99559961,45
2013,BLK,Forest,58.620559,-93.811126,38,1,W,A,BLK F1 WA,109,100,4.70E-06,3,199.149,126.485,0.187,16.99559961,45
