site,pit,date,depth,density,swe,htc
AIR,Upland forest,2010,51,186.63,95.18,0.20
AIR,Upland forest,2010,49,197.11,96.58,0.23
AIR,Upland forest,2010,58,178.59,103.58,0.16
AIR,Upland forest,2010,56,174.97,97.98,0.16
AIR,Upland forest,2010,104,228.80,237.95,0.15
AIR,Upland forest,2010,108,222.92,240.75,0.14
AIR,Upland forest,2010,110,267.22,293.94,0.19
AIR,Upland forest,2010,110,226.50,249.15,0.14
AIR,Upland forest,2010,106,211.28,223.96,0.12
AIR,Upland forest,2010,104,236.88,246.35,0.16
AIR,Upland forest,2010,100,237.95,237.95,0.17
AIR,Upland forest,2010,80,185.46,148.37,0.13
AIR,Upland forest,2010,82,249.22,204.36,0.22
AIR,Upland forest,2010,83,249.59,207.16,0.22
AIR,Upland forest,2010,75,231.42,173.57,0.21
AIR,Upland forest,2010,44,222.68,97.98,0.33
AIR,Upland forest,2010,42,186.63,78.39,0.24
AIR,Upland forest,2010,46,219.09,100.78,0.31
AIR,Upland forest,2010,50,139.97,69.99,0.12
AIR,Upland forest,2010,62,203.19,125.98,0.20
AIR,Upland forest,2010,72,233.29,167.97,0.22
AIR,Upland forest,2010,67,217.27,145.57,0.21
AIR,Upland forest,2010,78,244.06,190.36,0.22
AIR,Upland forest,2010,64,148.72,95.18,0.10
AIR,Upland forest,2010,63,191.07,120.38,0.17
AIR,Upland forest,2010,72,217.74,156.77,0.19
AIR,Upland forest,2010,38,265.21,100.78,0.54
AIR,Upland forest,2010,33,220.56,72.79,0.43
AIR,Upland forest,2010,28,209.96,58.79,0.46
AIR,Upland forest,2010,60,233.29,139.97,0.27
AIR,Upland forest,2010,63,248.84,156.77,0.29
AIR,Upland forest,2010,68,209.96,142.77,0.19
AIR,Upland forest,2010,64,236.20,151.17,0.26
AIR,Upland forest,2010,70,231.96,162.37,0.23
AIR,Upland forest,2010,75,235.16,176.37,0.22
AIR,Upland forest,2010,65,211.04,137.17,0.20
AIR,Upland forest,2010,69,243.43,167.97,0.25
AIR,Upland forest,2011,74,223.20,165.17,0.20
AIR,Upland forest,2011,80,211.71,169.37,0.16
AIR,Upland forest,2011,65,215.34,139.97,0.21
AIR,Upland forest,2011,78,229.70,179.17,0.20
AIR,Upland forest,2011,57,203.82,116.18,0.21
AIR,Upland forest,2011,51,203.10,103.58,0.24
