location,site,type,year,sample.no,depth,density,swe,htc
AIRp,AIR,Forest,2009,10,90,258.1728555,232.35557,0.217733863
AIRp,AIR,Forest,2009,10,48,209.9598524,100.7807292,0.27000923
AIRp,AIR,Forest,2009,10,44,209.9598524,92.38233506,0.294555524
AIRp,AIR,Forest,2009,10,72,174.9665437,125.9759114,0.125004273
AIRp,AIR,Forest,2009,10,65,204.5762664,132.9745732,0.189297322
AIRf,AIR,Forest,2009,11,34,247.0115911,83.98394096,0.527597926
AIRf,AIR,Forest,2009,11,71,283.8893779,201.5614583,0.333723867
AIRf,AIR,Forest,2009,11,73,226.2581058,165.1684172,0.206173462
AIRf,AIR,Forest,2009,11,72,202.1835616,145.5721643,0.166919286
AIRf,AIR,Forest,2009,11,75,201.5614583,151.1710937,0.159257924
AIRp,AIR,Forest,2009,11,130,318.7082888,414.3207754,0.229715709
AIRp,AIR,Forest,2009,11,114,245.5670788,279.9464699,0.155518754
AIRp,AIR,Forest,2009,11,49,239.954117,117.5775173,0.34546787
AIRp,AIR,Forest,2009,11,42,199.9617642,83.98394096,0.27989295
AIRp,AIR,Forest,2009,11,79,240.9665817,190.3635995,0.216089604
AIRp,AIR,Forest,2009,11,64,223.0823432,142.7726996,0.228611331
AIR4,AIR,Forest,2010,1,43,162.7595755,69.98661747,0.18112232
AIRf,AIR,Forest,2010,1,66,246.0135644,162.3689525,0.269601002
AIRf,AIR,Forest,2010,1,90,242.6202739,218.3582465,0.192291018
AIRf,AIR,Forest,2010,1,67,279.9464699,187.5641348,0.343892353
AIRf,AIR,Forest,2010,1,64,192.463198,123.1764467,0.170162067
AIRf,AIR,Forest,2010,1,65,172.2747507,111.9785879,0.134238544
AIRf,AIR,Forest,2010,1,50,123.1764467,61.58822337,0.08921393
AIRf,AIR,Forest,2010,1,61,188.160742,114.7780526,0.170637913
AIRf,AIR,Forest,2010,1,106,250.8954211,265.9491464,0.174593044
AIRf,AIR,Forest,2010,1,62,180.6106257,111.9785879,0.154682875
AIRf,AIR,Forest,2010,1,109,295.3563673,321.9384403,0.235295439
AIRp,AIR,Forest,2010,1,44,222.6846919,97.98126445,0.331341154
AIRp,AIR,Forest,2010,1,38,265.2124451,100.7807292,0.544191223
AIRp,AIR,Forest,2010,1,32,174.9665437,55.98929397,0.281259615
AIRp,AIR,Forest,2010,1,82,238.9786938,195.9625289,0.20476317
AIRp,AIR,Forest,2010,1,104,228.8024033,237.9544994,0.147990949
AIRp,AIR,Forest,2010,1,67,150.4189987,100.7807292,0.099283691
AIRp,AIR,Forest,2010,1,64,201.2115252,128.7753761,0.18598292
AIRp,AIR,Forest,2010,1,48,174.9665437,83.98394096,0.18750641
AIRp,AIR,Forest,2010,1,47,208.4707754,97.98126445,0.271856572
AIR4,AIR,Forest,2010,2,49,171.3957979,83.98394096,0.176259117
AIRf,AIR,Forest,2010,2,68,242.8947312,165.1684172,0.255078942
AIRf,AIR,Forest,2010,2,93,255.8650531,237.9544994,0.206959958
AIRf,AIR,Forest,2010,2,67,330.0861361,221.1577112,0.478109195
AIRf,AIR,Forest,2010,2,60,205.2940779,123.1764467,0.206513726
AIRf,AIR,Forest,2010,2,66,207.8390458,137.1737702,0.192423307
AIRf,AIR,Forest,2010,2,48,131.2249078,62.98795572,0.105472356
AIRf,AIR,Forest,2010,2,67,146.2406932,97.98126445,0.093844538
AIRf,AIR,Forest,2010,2,109,251.6949913,274.3475405,0.170871636
AIRf,AIR,Forest,2010,2,60,184.2980927,110.5788556,0.166432356
AIRf,AIR,Forest,2010,2,99,282.774212,279.9464699,0.237460697
AIRp,AIR,Forest,2010,2,42,186.6309799,78.38501156,0.243817859
AIRp,AIR,Forest,2010,2,33,220.5638854,72.78608217,0.433413263
AIRp,AIR,Forest,2010,2,32,157.4698893,50.39036458,0.227820288
AIRp,AIR,Forest,2010,2,80,174.9665437,139.9732349,0.112503846
AIRp,AIR,Forest,2010,2,108,222.9203371,240.7539641,0.135276687
AIRp,AIR,Forest,2010,2,64,183.7148709,117.5775173,0.155044363
AIRp,AIR,Forest,2010,2,48,198.2954162,95.18179975,0.240841566
AIRp,AIR,Forest,2010,2,52,139.9732349,72.78608217,0.110773018
AIRp,AIR,Forest,2010,2,57,191.5423215,109.1791232,0.189235219
AIR4,AIR,Forest,2010,3,56,209.9598524,117.5775173,0.231436483
AIRf,AIR,Forest,2010,3,68,222.310432,151.1710937,0.21367716
AIRf,AIR,Forest,2010,3,95,276.9996649,263.1496817,0.237455489
AIRf,AIR,Forest,2010,3,69,239.3745177,165.1684172,0.244148507
AIRf,AIR,Forest,2010,3,63,217.7361432,137.1737702,0.221242131
AIRf,AIR,Forest,2010,3,68,172.9081137,117.5775173,0.129261492
AIRf,AIR,Forest,2010,3,46,135.1046007,62.14811631,0.116662096
AIRf,AIR,Forest,2010,3,66,178.1477536,117.5775173,0.141372226
AIRf,AIR,Forest,2010,3,103,269.0747623,277.1470052,0.206659815
AIRf,AIR,Forest,2010,3,63,155.5258166,97.98126445,0.112878638
AIRf,AIR,Forest,2010,3,102,296.4139093,302.3421875,0.253247004
AIRp,AIR,Forest,2010,3,46,219.0885416,100.7807292,0.306781261
AIRp,AIR,Forest,2010,3,28,209.9598524,58.78875867,0.462872966
AIRp,AIR,Forest,2010,3,30,139.9732349,41.99197048,0.192006564
AIRp,AIR,Forest,2010,3,72,241.0650157,173.5668113,0.237292062
AIRp,AIR,Forest,2010,3,110,267.2216303,293.9437934,0.190852505
AIRp,AIR,Forest,2010,3,53,190.1523192,100.7807292,0.200574036
AIRp,AIR,Forest,2010,3,44,184.5101733,81.18447626,0.227475845
AIRp,AIR,Forest,2010,3,60,205.2940779,123.1764467,0.206513726
AIRp,AIR,Forest,2010,3,52,134.589649,69.98661747,0.102415882
AIR4,AIR,Forest,2010,4,57,230.8330541,131.5748408,0.274832742
AIRf,AIR,Forest,2010,4,69,235.3173225,162.3689525,0.235942424
AIRf,AIR,Forest,2010,4,95,259.3188352,246.3528935,0.208109473
AIRf,AIR,Forest,2010,4,67,179.6671374,120.376982,0.141647797
AIRf,AIR,Forest,2010,4,85,197.6092728,167.9678819,0.135065069
AIRf,AIR,Forest,2010,4,70,199.9617642,139.9732349,0.16793577
AIRf,AIR,Forest,2010,4,45,183.5204636,82.58420861,0.220041102
AIRf,AIR,Forest,2010,4,62,171.5800944,106.3796585,0.139601295
AIRf,AIR,Forest,2010,4,115,260.4719328,299.5427228,0.173448822
AIRf,AIR,Forest,2010,4,68,185.2586933,125.9759114,0.148386917
AIRf,AIR,Forest,2010,4,96,250.7853793,240.7539641,0.192610751
AIRp,AIR,Forest,2010,4,50,139.9732349,69.98661747,0.115203938
AIRp,AIR,Forest,2010,4,60,233.2887249,139.9732349,0.266675783
AIRp,AIR,Forest,2010,4,30,111.9785879,33.59357638,0.122884201
AIRp,AIR,Forest,2010,4,70,167.9678819,117.5775173,0.118495479
AIRp,AIR,Forest,2010,4,110,226.5021438,249.1523582,0.137119518
AIRp,AIR,Forest,2010,4,64,91.85743543,58.78875867,0.038761091
