site,group,date,year,zone,sample,weight,depth,density,swe,htc
T10,5,20130214,2013,Windward,10,170,18,264,48,1.14
T10,5,20130214,2013,Windward,30,230,22,293,64,1.14
T10,3,20130214,2013,Windward,33,300,26,323,84,1.18
T10,3,20130214,2013,Windward,43,205,20,287,57,1.21
T10,5,20130214,2013,Windward,25,240,22,305,67,1.25
T10,1,20130214,2013,Windward,26,650,41,444,182,1.41
T10,1,20130214,2013,Windward,16,300,24,350,84,1.50
T10,4,20130214,2013,Windward,19,110,12,257,31,1.61
T10,4,20130214,2013,Windward,39,240,20,336,67,1.66
T10,3,20130214,2013,Windward,13,158,15,295,44,1.70
T10,5,20130214,2013,Windward,20,130,13,280,36,1.77
T10,4,20130214,2013,Windward,14,260,19,383,73,2.27
T10,3,20130214,2013,Windward,23,120,11,305,34,2.49
T10,5,20130214,2013,Windward,40,150,12,350,42,3.00
T10,3,20130214,2013,Windward,18,118,10,330,33,3.21
T10,5,20130214,2013,Windward,45,110,9,342,31,3.82
T10,3,20130214,2013,Windward,3,102,8,357,29,4.68
T11,2,20130215,2013,Deflation,12,450,76,166,126,0.11
T11,4,20130215,2013,Deflation,19,520,68,214,146,0.20
T11,2,20130215,2013,Deflation,7,690,78,248,193,0.23
T11,3,20130215,2013,Deflation,13,750,82,256,210,0.24
T11,2,20130215,2013,Deflation,22,640,73,245,179,0.24
T11,2,20130215,2013,Deflation,2,820,82,280,230,0.28
T11,3,20130215,2013,Deflation,33,900,87,290,252,0.28
T11,3,20130215,2013,Deflation,18,1150,100,322,322,0.30
T11,2,20130215,2013,Deflation,27,760,75,284,213,0.32
T11,2,20130215,2013,Deflation,17,850,80,297,238,0.33
T11,3,20130215,2013,Deflation,38,850,80,297,238,0.33
T11,3,20130215,2013,Deflation,23,1400,111,353,392,0.33
T11,4,20130215,2013,Deflation,44,750,73,288,210,0.33
T11,4,20130215,2013,Deflation,24,650,66,276,182,0.34
T11,2,20130215,2013,Deflation,42,800,75,299,224,0.35
T11,2,20130215,2013,Deflation,37,740,71,292,207,0.35
T11,4,20130215,2013,Deflation,29,840,77,305,235,0.36
T11,2,20130215,2013,Deflation,32,765,72,297,214,0.36
T11,3,20130215,2013,Deflation,28,1000,86,326,280,0.36
T11,4,20130215,2013,Deflation,9,740,70,296,207,0.37
T11,4,20130215,2013,Deflation,14,790,73,303,221,0.37
T11,3,20130215,2013,Deflation,8,960,83,324,269,0.37
T11,4,20130215,2013,Deflation,34,580,58,280,162,0.40
T11,4,20130215,2013,Deflation,39,880,72,342,246,0.48
T11,4,20130215,2013,Deflation,4,550,50,308,154,0.56
T11,1,20130215,2013,Deflation,1,550,49,314,154,0.59
T11,1,20130215,2013,Deflation,11,510,43,332,143,0.75
T11,1,20130215,2013,Deflation,26,300,30,280,84,0.77
T11,1,20130215,2013,Deflation,21,260,27,270,73,0.79
T11,1,20130215,2013,Deflation,6,600,47,357,168,0.80
T11,3,20130215,2013,Deflation,3,375,32,328,105,0.99
T11,1,20130215,2013,Deflation,16,350,30,327,98,1.05
T11,1,20130215,2013,Deflation,31,340,28,340,95,1.21
T11,2,20130215,2013,Drift,27,1040,150,194,291,0.07
