year,site,zone,tree,aspect,height,code,dry.wgt,fresh.wgt,water,viability,stem,sur.area,gmin
2008,RID,Forest,914,W,NWS,RID F914 NWS,NA,NA,NA,NA,NA,NA,NA
2008,RID,Forest,914,L,SOA,RID F914 SOA,0.2546,0.5936,133.1500393,1,NA,0.017361813,4.61539E-05
2008,RID,Forest,914,L,SOC,RID F914 SOC,0.2898,0.6707,131.4354727,0.984375,NA,0.016826342,4.26209E-05
2008,RID,Forest,914,L,SOS,RID F914 SOS,NA,NA,NA,NA,NA,NA,NA
2008,RID,Forest,915,L,EAA,RID F915 EAA,0.178,0.4115,131.1797753,1,NA,0.018500292,2.02337E-05
2008,RID,Forest,915,L,EAC,RID F915 EAC,0.2462,0.5125,108.1640942,0.961038961,NA,0.0251969,1.66115E-05
2008,RID,Forest,915,L,EAS,RID F915 EAS,NA,NA,NA,NA,NA,NA,NA
2008,RID,Forest,915,W,NWA,RID F915 NWA,0.1962,0.5149,162.4362895,0.328358209,NA,0.020330061,3.97687E-05
2008,RID,Forest,915,W,NWC,RID F915 NWC,0.2167,0.5286,143.9317028,0.983606557,NA,0.022903861,3.15459E-05
2008,RID,Forest,915,W,NWS,RID F915 NWS,0.3987,0.8865,122.3476298,1,NA,0.040520545,2.92099E-05
2008,RID,Forest,915,L,SOA,RID F915 SOA,0.1717,0.3665,113.4536983,0.983333333,NA,0.019151541,2.06552E-05
2008,RID,Forest,915,L,SOC,RID F915 SOC,0.2634,0.596,126.2718299,1,NA,0.024783638,3.69201E-05
2008,RID,Forest,915,L,SOS,RID F915 SOS,NA,NA,NA,NA,NA,NA,NA
2008,RID,Ecotone,910,L,EAA,RID FT910 EAA,0.0801,0.1852,131.2109863,0.710526316,NA,0.008065838,0.000109973
2008,RID,Ecotone,910,L,EAC,RID FT910 EAC,0.2851,0.6493,127.744651,1,NA,0.020833532,5.27273E-05
2008,RID,Ecotone,910,L,EAS,RID FT910 EAS,0.0901,0.2002,122.1975583,1,NA,0.006070283,9.20545E-05
2008,RID,Ecotone,910,W,NWA,RID FT910 NWA,0.1283,0.296,130.7092751,1,NA,0.010479479,4.3018E-05
2008,RID,Ecotone,910,W,NWC,RID FT910 NWC,0.2156,0.4966,130.3339518,1,NA,0.014182754,4.16023E-05
2008,RID,Ecotone,910,W,NWS,RID FT910 NWS,0.2461,0.5407,119.707436,0.988235294,NA,0.019545507,3.86829E-05
2008,RID,Ecotone,910,L,SOA,RID FT910 SOA,0.1672,0.4253,154.3660287,1,NA,0.012938145,6.87086E-05
