year,site,zone,year.zone,tree,aspect,height,island.side,code,dry.wgt,fresh.wgt,water,viability,stem,sur.area,gmin
2008,RID,Ecotone,Ecotone.2008,910,L,A,NA,RID FT910 SOA,0.1672,0.4253,154.366,1,NA,0.012938,0.000069
2008,RID,Ecotone,Ecotone.2008,910,L,C,NA,RID FT910 SOC,0.3867,0.865,123.6876,1,NA,0.02979,0.000035
2008,RID,Ecotone,Ecotone.2008,910,L,S,NA,RID FT910 SOS,0.127,0.2955,132.6772,0.9583,NA,0.010188,0.000053
2008,RID,Ecotone,Ecotone.2008,911,L,A,NA,RID FT911 EAA,0.3781,0.8227,117.5879,0.9549,NA,0.032187,0.000039
2008,RID,Ecotone,Ecotone.2008,911,L,C,NA,RID FT911 EAC,0.2774,0.6516,134.8955,1,NA,0.017561,0.00004
2008,RID,Ecotone,Ecotone.2008,911,L,S,NA,RID FT911 EAS,0.3518,0.7949,125.9522,1,NA,0.028636,0.000041
2008,RID,Ecotone,Ecotone.2008,911,W,A,NA,RID FT911 NWA,0.1656,0.4144,150.2415,1,NA,0.015696,0.000041
2008,RID,Ecotone,Ecotone.2008,911,W,C,NA,RID FT911 NWC,0.3506,0.793,126.1837,0.9857,NA,0.022456,0.000042
2008,RID,Ecotone,Ecotone.2008,911,W,S,NA,RID FT911 NWS,0.1309,0.2928,123.6822,1,NA,0.012145,0.000033
2008,RID,Ecotone,Ecotone.2008,911,L,A,NA,RID FT911 SOA,0.1993,0.4307,116.1064,1,NA,0.014894,0.000026
2008,RID,Ecotone,Ecotone.2008,911,L,C,NA,RID FT911 SOC,0.3435,0.7997,132.8093,0.9853,NA,0.019081,0.000042
2008,RID,Ecotone,Ecotone.2008,911,L,S,NA,RID FT911 SOS,0.2627,0.6124,133.1176,0.9615,NA,0.023413,0.000042
2008,RID,Ecotone,Ecotone.2008,912,L,A,NA,RID FT912 EAA,0.2415,0.5407,123.8923,0.9818,NA,0.017362,0.000029
2008,RID,Ecotone,Ecotone.2008,912,L,C,NA,RID FT912 EAC,0.2406,0.5327,121.4048,0.9531,NA,0.018216,0.000036
2008,RID,Ecotone,Ecotone.2008,912,L,S,NA,RID FT912 EAS,0.2237,0.5133,129.4591,1,NA,0.021111,0.000028
2008,RID,Ecotone,Ecotone.2008,912,W,A,NA,RID FT912 NWA,0.2504,0.5714,128.1949,1,NA,0.016936,0.000039
2008,RID,Ecotone,Ecotone.2008,912,W,C,NA,RID FT912 NWC,0.3469,0.7689,121.6489,1,NA,0.020795,0.000047
2008,RID,Ecotone,Ecotone.2008,912,W,S,NA,RID FT912 NWS,0.1266,0.2954,133.3333,0.9737,NA,0.011793,0.000025
2008,RID,Ecotone,Ecotone.2008,912,L,A,NA,RID FT912 SOA,0.2424,0.5457,125.1238,1,NA,0.017584,0.000029
2008,RID,Ecotone,Ecotone.2008,912,L,C,NA,RID FT912 SOC,0.1536,0.3508,128.3854,1,NA,0.010531,0.000045
2008,RID,Ecotone,Ecotone.2008,912,L,S,NA,RID FT912 SOS,0.3586,0.708,97.4345,0.9588,NA,0.028076,0.00004
2008,RID,Tundra,Tundra.2008,916,L,A,NA,RID T916 EAA,0.1149,0.2751,139.4256,1,NA,0.01338,0.000032
2008,RID,Tundra,Tundra.2008,916,L,S,NA,RID T916 EAS,0.1263,0.2989,136.6587,1,NA,0.019586,0.000019
