site,zone,zone.aspect,zone.height,tree,aspect,height,code,fresh,dry,length,sa_needle,sa_total,gmin,viability,water
BLK,Forest,Forest.W,Forest.C,1,W,C,BLK F1 WC,0.6112,0.2952,1.110,3.7297,216.321,9.4E-06,97,107
BLK,Forest,Forest.W,Forest.A,2,W,A,BLK F2 WA,0.2813,0.1343,1.070,3.5953,79.096,1.5E-05,95,109
BLK,Forest,Forest.W,Forest.C,2,W,C,BLK F2 WC,0.4567,0.1867,1.000,3.3601,107.522,1.5E-05,88,145
BLK,Forest,Forest.W,Forest.S,2,W,S,BLK F2 WS,0.5179,0.2239,0.875,2.9401,158.763,1.5E-05,100,131
BLK,Forest,Forest.W,Forest.A,3,W,A,BLK F3 WA,0.8072,0.4102,0.920,3.0913,262.757,1.6E-05,72,97
BLK,Forest,Forest.W,Forest.C,3,W,C,BLK F3 WC,0.5373,0.2793,0.955,3.2089,179.696,1.5E-05,64,92
BLK,Forest,Forest.W,Forest.S,3,W,S,BLK F3 WS,0.5510,0.2580,0.900,3.0241,172.371,2.3E-05,98,114
BLK,Forest,Forest.W,Forest.A,4,W,A,BLK F4 WA,0.0793,0.0423,0.707,2.3760,33.265,7.1E-06,93,87
BLK,Forest,Forest.W,Forest.C,4,W,C,BLK F4 WC,0.1256,0.0516,0.897,3.0142,51.241,2.3E-05,88,143
BLK,Forest,Forest.W,Forest.A,5,W,A,BLK F5 WA,0.3625,0.1705,0.790,2.6544,132.722,1.1E-05,100,113
