location,site,type,wind,plotting,year,sample.no,depth,density,swe,htc
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2017,2017,13,4,209.96,8.4,3.2401
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2017,2017,21,4,209.96,8.4,3.2401
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2017,2017,11,3,186.63,5.6,3.4135
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2017,2017,9,5,251.95,12.6,3.7326
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2017,2017,29,6,303.28,18.2,4.5068
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2017,2017,18,3,233.29,7,5.3335
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2017,2017,10,4,279.95,11.2,5.7602
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2017,2017,24,4,279.95,11.2,5.7602
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2017,2017,2,6,349.93,21,6.0002
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2017,2017,15,4,314.94,12.6,7.2902
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2017,2017,23,4,314.94,12.6,7.2902
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2017,2017,8,5,363.93,18.2,7.7878
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2017,2017,22,5,363.93,18.2,7.7878
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2017,2017,6,4,349.93,14,9.0003
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2017,2017,20,4,384.93,15.4,10.8904
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2017,2017,16,3.2,349.93,11.2,11.2504
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2017,2017,25,3.2,349.93,11.2,11.2504
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2017,2017,33,4.2,433.25,18.2,13.1394
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2017,2017,26,3.2,393.67,12.6,14.2388
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2017,2017,14,3.8,405.19,15.4,12.702
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2017,2017,32,3.5,439.92,15.4,16.2562
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2017,2017,3,3,279.95,8.4,7.6803
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2017,2017,12,3,279.95,8.4,7.6803
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2017,2017,1,3,326.6,9.8,10.4537
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2017,2017,30,3,326.6,9.8,10.4537
Broad: Coastal Beach Ridge,BBR,beach,scour,F.2017,2017,31,3.1,361.22,11.2,12.3746
Broad: Riparian Forest,BRF,forest,deposition,C.2017,2017,3,56,99.98,55.99,0.0525
Broad: Riparian Forest,BRF,forest,deposition,C.2017,2017,17,56,119.98,67.19,0.0756
Broad: Riparian Forest,BRF,forest,deposition,C.2017,2017,2,62,126.43,78.39,0.0758
Broad: Riparian Forest,BRF,forest,deposition,C.2017,2017,18,56,129.98,72.79,0.0887
Broad: Riparian Forest,BRF,forest,deposition,C.2017,2017,23,56,129.98,72.79,0.0887
Broad: Riparian Forest,BRF,forest,deposition,C.2017,2017,27,48,139.97,67.19,0.12
Broad: Riparian Forest,BRF,forest,deposition,C.2017,2017,14,58,154.45,89.58,0.1209
Broad: Riparian Forest,BRF,forest,deposition,C.2017,2017,5,53,147.9,78.39,0.1213
