site,sow.year,species,plot,exclosure,treat,treatment,seeded,scarif,no.germ,germ.0,germ.1,germ.2,germ.3,germ.4,germ.5,germ.prop,no.germ.prop,germ.prop.via,surv.prop.0,surv.prop.1,surv.prop.2,surv.prop.3,surv.prop.4,planted,viability
salp,2016,fir,407,yes,1,control,0,0,NA,0,0,0,,0,,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
salp,2016,fir,408,yes,3,scarified,0,1,NA,0,0,0,,0,,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
salp,2016,fir,409,yes,2,seeded,1,0,20,0,0,0,,0,,0,1,0,NA,NA,NA,NA,NA,20,0.645
salp,2016,fir,410,yes,4,seeded.scarified,1,1,17,3,3,3,,3,,0.176470588,0.85,0.23255814,1,1,NA,1,1,20,0.645
salp,2016,fir,411,yes,3,scarified,0,1,NA,0,0,0,,0,,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
salp,2016,fir,412,yes,1,control,0,0,NA,0,0,0,,0,,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
salp,2016,fir,413,yes,4,seeded.scarified,1,1,19,1,1,1,,0,,0.052631579,0.95,0.07751938,1,1,NA,0,0,20,0.645
salp,2016,fir,414,yes,3,scarified,0,1,NA,0,0,0,,0,,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
salp,2016,fir,415,yes,2,seeded,1,0,19,1,1,0,,0,,0.052631579,0.95,0.07751938,1,0,NA,0,0,20,0.645
salp,2016,fir,416,yes,1,control,0,0,NA,0,0,0,,0,,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
salp,2016,fir,417,yes,2,seeded,1,0,20,0,0,0,,0,,0,1,0,NA,NA,NA,NA,NA,20,0.645
salp,2016,fir,418,yes,4,seeded.scarified,1,1,13,7,7,4,,4,,0.538461538,0.65,0.542635659,1,0.571428571,NA,0.571428571,0.428571429,20,0.645
salp,2016,fir,419,yes,3,scarified,0,1,NA,0,0,0,,0,,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
salp,2016,fir,420,yes,1,control,0,0,NA,0,0,0,,0,,NA,NA,NA,NA,NA,NA,NA,NA,20,0.645
scut,2018,spruce,447,no,3,scarified,0,1,NA,0,NA,0,,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.455
sshr,2016,spruce,424,yes,1,control,0,0,NA,0,0,0,,0,,NA,NA,NA,NA,NA,NA,NA,NA,20,0.455
sshr,2017,spruce,424,yes,1,control,0,0,NA,0,0,NA,,#REF!,,NA,NA,NA,NA,NA,NA,NA,NA,20,0.455
scut,2018,spruce,448,no,1,control,0,0,NA,0,NA,0,,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.455
sshr,2016,spruce,425,no,2,seeded,1,0,20,0,0,0,,0,,0,1,0,NA,NA,NA,NA,NA,20,0.455
sshr,2017,spruce,425,no,2,seeded,1,0,20,0,0,NA,,#REF!,,0,1,0,NA,NA,NA,NA,NA,20,0.455
scut,2018,spruce,449,no,4,seeded.scarified,1,1,20,0,NA,0,,NA,0,0,1,0,NA,NA,NA,NA,NA,20,0.455
sshr,2016,spruce,425,yes,2,seeded,1,0,20,0,0,0,,0,,0,1,0,NA,NA,NA,NA,NA,20,0.455
sshr,2017,spruce,425,yes,2,seeded,1,0,20,0,0,NA,,#REF!,,0,1,0,NA,NA,NA,NA,NA,20,0.455
scut,2018,spruce,450,no,3,scarified,0,1,NA,0,NA,0,,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.455
sshr,2016,spruce,426,no,4,seeded.scarified,1,1,19,1,0,0,,0,,0.052631579,0.95,0.10989011,0,0,NA,0,0,20,0.455
sshr,2017,spruce,426,no,4,seeded.scarified,1,1,20,0,0,NA,,#REF!,,0,1,0,NA,NA,NA,NA,NA,20,0.455
scut,2018,spruce,451,no,2,seeded,1,0,20,0,NA,0,,NA,0,0,1,0,NA,NA,NA,NA,NA,20,0.455
sshr,2016,spruce,426,yes,4,seeded.scarified,1,1,20,0,0,0,,0,,0,1,0,NA,NA,NA,NA,NA,20,0.455
sshr,2017,spruce,426,yes,4,seeded.scarified,1,1,18,2,1,NA,,#REF!,,0.111111111,0.9,0.21978022,0.5,NA,0.5,NA,0,20,0.455
scut,2018,spruce,452,no,1,control,0,0,NA,0,NA,0,,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,20,0.455
sshr,2016,spruce,427,no,3,scarified,0,1,NA,0,0,0,,0,,NA,NA,NA,NA,NA,NA,NA,NA,20,0.455
